type,concept,page,section,body,source,gap,see_also
FSD,,behaviour/actions/index.html,,"DeterminationUse fsd:Determination only where the record identifies a written administrative act; receipt, acknowledgement, or referral alone is not a determination.",FSD-Ontology-2026.md,,
FSD,,behaviour/actions/index.html,,Public BodyIdentify the acting institution as fsd:PublicBody only when the source supports that institutional role.,FSD-Ontology-2026.md,,
FSD,,behaviour/closures/index.html,,"Loop Closurefsd:LoopClosure is an analytical classification for a terminal mechanism, not evidence that a particular loop was closed.",FSD-Ontology-2026.md,,
FSD,,behaviour/closures/index.html,,DeterminationA closure record should be tested for the required form of fsd:Determination and for any stated reasons or legal basis.,FSD-Ontology-2026.md,,
FSD,,behaviour/delays/index.html,,"Non-Determinationfsd:NonDetermination requires an identifiable submission, recipient, opportunity or duty to act, elapsed time, and no documented concluding determination.",FSD-Ontology-2026.md,,
FSD,,behaviour/delays/index.html,,Residual Obligationfsd:ResidualObligation describes a proposed continuing obligation; it does not establish that a delay is unlawful.,FSD-Ontology-2026.md,,
FSD,,behaviour/index.html,,Submissionfsd:Submission is used only where the record identifies a formal written communication and its relevant participants.,FSD-Ontology-2026.md,,
FSD,,behaviour/index.html,,"Non-DeterminationClassify a possible fsd:NonDetermination only after checking receipt, competence, expected action, time, and the absence of a recorded conclusion.",FSD-Ontology-2026.md,,
FSD,,behaviour/non-actions/index.html,,Non-Determinationfsd:NonDetermination is not established merely because a decision is absent from one document; distinguish “not present” from “not found in the available record.”,FSD-Ontology-2026.md,,
FSD,,behaviour/non-actions/index.html,,Silence Vetofsd:SilenceVeto is a structural ontology concept and requires evidence beyond silence in an isolated record.,FSD-Ontology-2026.md,,
FSD,,behaviour/referrals/index.html,,Referral Determinationfsd:ReferralDetermination requires a referral with a stated legal basis; a routing email is not automatically one.,FSD-Ontology-2026.md,,
FSD,,behaviour/referrals/index.html,,"Remit Displacementfsd:RemitDisplacement is an interpretation to be tested against repeated transfers of responsibility, not a motive attributed to one referral.",FSD-Ontology-2026.md,,
FSD,,corpus/correspondence/index.html,,"SubmissionA correspondence item may be relevant to fsd:Submission; classification requires attention to sender, recipient, content, and invitation or expectation of response.",FSD-Ontology-2026.md,,
FSD,,corpus/correspondence/index.html,,DeterminationDo not classify an acknowledgement or exchange as fsd:Determination without the required substantive form.,FSD-Ontology-2026.md,,
FSD,,corpus/decisions/index.html,,Determinationfsd:Determination is a controlled classification for a written administrative act responding to a qualifying submission.,FSD-Ontology-2026.md,,
FSD,,corpus/decisions/index.html,,Rejection Determinationfsd:RejectionDetermination requires a rejection with reasons; disagreement with a document does not supply those reasons.,FSD-Ontology-2026.md,,
FSD,,corpus/index.html,,Submission of National Utilityfsd:SubmissionOfNationalUtility is a proposed ontology class whose conditions must be tested against the source record.,FSD-Ontology-2026.md,,
FSD,,corpus/index.html,,Public BodyInstitutional names in the corpus do not alone establish the legal or operational role of fsd:PublicBody.,FSD-Ontology-2026.md,,
FSD,,corpus/institutional-records/index.html,,Public Bodyfsd:PublicBody identifies an ontology role; it does not by itself prove competence in the matter described.,FSD-Ontology-2026.md,,
FSD,,corpus/institutional-records/index.html,,Competent AuthorityUse fsd:CompetentAuthority only where the applicable designation and relevant temporal context are documented.,FSD-Ontology-2026.md,,
FSD,,corpus/statements/index.html,,High-Risk AI SubmissionA statement invoking a high-risk system may be relevant to fsd:HighRiskAISubmission; the label remains a classification to verify.,FSD-Ontology-2026.md,,
FSD,,corpus/statements/index.html,,Dual-Use SubmissionA claim of dual-use characteristics is not itself an established fsd:DualUseSubmission.,FSD-Ontology-2026.md,,
FSD,,posiwid/index.html,,"Nullification Loopfsd:NullificationLoop is a system-level hypothesis requiring recurrence, routing, and unresolved inputs to be established.",FSD-Ontology-2026.md,,
FSD,,posiwid/index.html,,"Structural Conditionfsd:StructuralCondition should describe a demonstrated pattern, not serve as a synonym for institutional failure.",FSD-Ontology-2026.md,,
FSD,,posiwid/purpose-inferred-from-behaviour/index.html,,Normative Collapsefsd:NormativeCollapse is an interpretive class for a demonstrated failure of an applicable norm to produce a determination.,FSD-Ontology-2026.md,,
FSD,,posiwid/purpose-inferred-from-behaviour/index.html,,Ontic Collapsefsd:OnticCollapse requires evidence that no single body holds the relevant competence and no mechanism assembles it.,FSD-Ontology-2026.md,,
FSD,,posiwid/system-observations/index.html,,Loop Conditionfsd:LoopCondition is tested against the ontology's stated conditions; repeated correspondence alone is insufficient.,FSD-Ontology-2026.md,,
FSD,,posiwid/system-observations/index.html,,"Residual ObligationRecord a possible fsd:ResidualObligation only with the source, duty, triggering condition, and responsible authority identified.",FSD-Ontology-2026.md,,
FSD,,semiotics/absences/index.html,,"Administrative Amnesiafsd:AdministrativeAmnesia requires evidence of institutional memory loss or reset, not merely a missing item in one file.",FSD-Ontology-2026.md,,
FSD,,semiotics/absences/index.html,,Designed Forgettingfsd:DesignedForgetting is a high-burden interpretation and must not be inferred from silence alone.,FSD-Ontology-2026.md,,
FSD,,semiotics/index.html,,Structural Displacementfsd:StructuralDisplacement is used to examine how responsibility may be represented as moving between institutional interfaces.,FSD-Ontology-2026.md,,
FSD,,semiotics/index.html,,"Prohibited Practicefsd:ProhibitedPractice is an ontology category, not a conclusion that a source document proves prohibited conduct.",FSD-Ontology-2026.md,,
FSD,,semiotics/metaphors/index.html,,"Nullification LoopThe phrase “loop” may illuminate recurrence, but fsd:NullificationLoop requires a documented sequence rather than metaphor alone.",FSD-Ontology-2026.md,,
FSD,,semiotics/metaphors/index.html,,"Silence VetoThe phrase “silence veto” should be tested against agency, expectation, and consequence before use as fsd:SilenceVeto.",FSD-Ontology-2026.md,,
FSD,,semiotics/narratives/index.html,,Sufficiency Assertionfsd:SufficiencyAssertion identifies a proposed category; classify a passage only where the record shows the relevant assertion.,FSD-Ontology-2026.md,,
FSD,,semiotics/narratives/index.html,,Foreclosure by Proxyfsd:ForeClosureByProxy is an interpretive possibility requiring evidence of a delegated or indirect closure mechanism.,FSD-Ontology-2026.md,,
FSD,,semiotics/oppositions/index.html,,Acceptance Determinationfsd:AcceptanceDetermination is distinguished from acknowledgement or partial engagement.,FSD-Ontology-2026.md,,
FSD,,semiotics/oppositions/index.html,,Non-Determinationfsd:NonDetermination is a conclusion only after the documentary conditions for non-decision have been established.,FSD-Ontology-2026.md,,
FSD,,semiotics/signifiers/index.html,,Testable Submissionfsd:TestableSubmission requires an operational or empirically testable component and an offered means of testing.,FSD-Ontology-2026.md,,
